X,Y,Time
1367,557,75863.1000000001
1325,538,75879.06500000041
1357,415,75896.71500000032
1357,415,75912.00500000035
1342,452,75927.96500000032
1342,452,75943.75
1368,391,75959.99500000058
1368,391,75977.37000000011
1370,516,75996.85500000045
1413,472,76013.70000000019
1413,472,76029.38000000035
1411,457,76045.14500000048
1411,457,76060.02000000002
1414,420,76075.77000000002
1411,438,76091.59000000032
1386,497,76109.6499999999
1402,501,76125.67500000028
1340,422,76144.2250000001
1414,578,76163.6950000003
1398,580,76180.2900000005
1449,457,76196.34500000067
1449,457,76212.88500000024
1375,485,76228.71000000043
1375,485,76244.24500000058
1386,481,76263.36000000034
1386,481,76282.97999999998
1514,475,76302.31000000006
1435,509,76317.41000000015
1435,509,76333.19000000041
1433,499,76350.1950000003
1433,499,76365.25000000047
1362,485,76381.79000000004
1362,485,76397.02500000037
1401,452,76413.2749999999
1401,452,76432.4700000002
1346,446,76449.67000000039
1346,446,76464.77500000037
1428,468,76481.75500000035
1428,468,76497.16000000015
1451,510,76512.93500000052
1430,482,76528.56500000041
1430,482,76544.71000000043
1383,500,76559.96500000032
1467,532,76575.19000000041
1438,471,76595.17500000028
1438,471,76614.67500000028
1484,412,76630.21000000043
1484,412,76646.25500000035
1366,427,76661.77500000037
1366,427,76677.67000000039
1420,533,76693.20000000019
1420,533,76708.7200000002
1393,520,76726.28000000073
1393,520,76742.04500000039
1325,475,76757.51000000024
1325,475,76773.0150000006
1369,477,76791.89500000048
1383,406,76807.20500000007
1394,405,76824.75500000035
1378,403,76839.86000000034
1411,436,76857.9750000001
1411,436,76876.875
1380,518,76896.73500000034
1380,518,76914.96000000043
1334,468,76934.8200000003
1334,468,76950.33500000043
1309,501,76965.58000000007
1309,501,76980.91000000061
1324,491,76997.42500000028
1255,462,77012.79500000039
1432,453,77028.45000000065
1432,453,77045.43999999994
1372,453,77064.0950000002
1372,453,77079.96000000043
1442,529,77096.0700000003
1442,529,77112.59000000032
1352,515,77128.1650000005
1352,515,77144.18000000063
1434,472,77159.41000000061
1434,472,77175.57500000065
1424,483,77195.0150000006
1424,483,77210.43000000017
1436,428,77225.88500000071
1436,428,77241.5950000002
1436,428,77260.68500000052
1433,456,77277.23000000045
1430,382,77293.19000000041
1406,482,77308.7900000005
1464,421,77324.71000000043
1464,421,77340.36000000034
1423,432,77356.61000000034
1423,432,77380.50000000047
1509,367,77395.95500000007
1509,367,77411.60500000045
1383,540,77427.35500000045
1383,540,77446.91500000004
1243,529,77462.05000000028
1243,529,77477.46500000032
1382,527,77493.48000000045
1374,505,77509.63000000035
1368,556,77525.77000000048
1368,556,77541.3200000003
1203,600,77557.4150000005
1203,600,77572.56000000052
1373,610,77589.99500000058
1373,610,77605.69000000041
1373,610,77623.16500000004
1249,558,77639.81000000052
1294,558,77656.1950000003
1383,519,77672.1499999999
1383,519,77689.21500000032
1355,517,77710.00500000035
1259,524,77726.1950000003
1259,524,77743.09000000032
1397,484,77758.74000000022
1365,473,77774.18000000017
1274,482,77789.67000000039
1274,482,77805.42000000039
1318,421,77822.79500000039
1318,421,77841.52000000002
1358,496,77857.21500000032
1358,496,77873.10500000045
1262,701,77889.1400000006
1262,701,77909.70500000007
1349,624,77926.52500000037
1349,624,77942.81499999994
1306,668,77958.68000000063
1306,668,77974.11500000022
1306,668,77989.38500000071
1307,595,78005.95999999996
1307,595,78028.73500000034
1401,456,78045.2200000002
1366,565,78060.40000000037
1366,565,78078.1950000003
1342,524,78093.4450000003
1342,524,78108.49500000011
1252,493,78124.07000000076
1252,493,78139.33500000043
1336,471,78155.54500000039
1336,471,78171.65000000037
1332,606,78188.50000000047
1332,606,78210.21000000043
1265,510,78226.23000000045
1265,510,78241.09000000032
1376,522,78256.64000000013
1376,522,78272.54500000039
1354,511,78296.96500000032
1336,552,78312.73500000034
1304,451,78328.93000000017
1304,451,78349.52500000037
1330,475,78365.73000000045
1330,475,78381.63000000035
1310,499,78398.12000000058
1310,499,78413.13000000035
1432,548,78428.63500000024
1432,548,78444.05000000028
1343,562,78459.75500000035
1343,562,78475.71000000043
1363,568,78491.02500000037
1363,568,78505.82500000019
1363,568,78522.23000000045
1339,646,78542.11500000022
1312,577,78557.72000000067
1312,577,78573.30500000017
1389,615,78594.83000000007
1389,615,78614.56000000006
1301,567,78630.8450000002
1301,567,78649.8200000003
1275,648,78666.55500000063
1275,648,78681.83000000007
1261,566,78698.22000000067
1261,566,78713.41000000061
1249,573,78729.62000000011
1370,602,78744.90500000026
1370,602,78763.63500000071
1231,556,78779.24000000069
1343,585,78795.73000000045
1343,585,78815.25500000035
1306,546,78830.75000000047
1306,546,78847.50000000047
1423,617,78862.87500000047
1429,579,78881.75499999989
1300,514,78898.9700000002
1300,514,78914.99500000011
1379,526,78930.56500000041
1379,526,78947.65500000026
1388,513,78965.41000000061
1388,513,78981.05000000075
1378,563,78996.83000000007
1378,563,79012.56000000052
1363,487,79028.2900000005
1363,487,79044.69000000041
1344,591,79060.89500000048
1344,591,79077.09000000032
1344,591,79092.8450000002
1347,612,79109.36000000034
1347,612,79127.47500000056
1262,540,79143.20000000019
1262,540,79158.41500000004
1365,580,79176.44000000041
1365,580,79192.02500000037
1355,548,79207.62999999989
1355,548,79222.88500000024
1340,567,79238.92500000028
1374,597,79254.23500000034
1402,553,79270.48500000034
1402,553,79288.38500000071
1387,577,79304.13000000035
1387,577,79320.6650000005
1228,660,79337.63000000035
1228,660,79354.64500000002
1353,588,79374.04500000039
1290,594,79389.5950000002
1269,617,79404.43000000017
1329,629,79422.56500000041
1329,629,79437.76500000013
1329,629,79453.44000000041
1312,587,79470.53500000015
1312,587,79489.20000000019
1323,561,79504.44000000041
1323,561,79521.1950000003
1291,511,79537.5400000005
1291,511,79554.2200000002
1269,590,79571.02000000048
1265,578,79587.60500000045
1300,539,79603.55000000028
1327,501,79621.3900000006
1353,592,79640.18500000052
1353,592,79655.6950000003
1441,538,79671.01000000024
1441,538,79689.44000000041
1299,518,79704.3200000003
1299,518,79720.94000000041
1312,574,79737.21000000043
1312,574,79753.20000000019
1342,582,79771.06499999994
1307,577,79787.20999999996
1307,577,79804.00000000047
1307,577,79821.31000000052
1249,626,79836.60499999998
1249,626,79857.74500000058
1333,613,79876.20500000007
1333,613,79891.85500000045
1301,633,79907.88500000024
1301,633,79923.07500000019
1279,528,79939.14000000013
1257,534,79959.1950000003
1326,565,79975.30000000028
1326,565,79990.81000000052
1200,554,80009.5150000006
1183,552,80024.44000000041
1206,532,80040.18500000052
1206,532,80055.59500000067
1254,491,80071.51500000013
1315,556,80087.14500000002
1372,515,80107.26000000024
1208,583,80123.30500000017
1236,595,80139.43500000006
1324,457,80155.38500000024
1324,457,80170.23000000045
1282,452,80186.42000000039
1303,580,80208.81000000052
1322,535,80224.0400000005
1433,576,80239.27500000037
1451,577,80255.37000000058
1159,552,80276.01000000024
1159,552,80292.34000000032
1266,478,80309.37500000047
1288,427,80325.14000000013
1306,494,80340.7250000001
1306,494,80355.96500000032
1232,538,80371.23000000045
1232,538,80387.09000000032
1300,484,80402.95999999996
1300,484,80421.39500000048
1160,697,80437.09500000067
1161,678,80454.52000000048
1184,598,80469.70500000007
1184,598,80486.40500000026
1195,600,80502.58000000054
